gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
C5AR2	0.127850132829056	0.00471254462649942	0.004	0.001	1	RCHACV	0.399140980049586	Expanded NK-treated
CHRNA1	0.127850510705259	0.00487692835946024	0.024	0.011	1	RCHACV	0.399140980049586	Expanded NK-treated
ELOVL4	0.127899368434547	-0.00469241089134915	0.002	0.004	1	RCHACV	0.399240307037459	Expanded NK-treated
CRIPAK	0.127955724946679	0.00434944814844664	0.028	0.012	1	RCHACV	0.39936301203382	Expanded NK-treated
NDC80	0.128047436663002	-0.00408276989731071	0.562	0.439	1	RCHACV	0.399596016878134	Expanded NK-treated
TSC1	0.128072282371082	0.00364371160942797	0.201	0.127	1	RCHACV	0.399620319540137	Expanded NK-treated
MPV17L	0.128115932149755	0.00533467688574544	0.043	0.021	1	RCHACV	0.399664605586228	Expanded NK-treated
CDK5	0.128137892841407	-0.00198733148216682	0.281	0.181	1	RCHACV	0.399664605586228	Expanded NK-treated
PALD1	0.12814642280507	0.00710652748207255	0.161	0.102	1	RCHACV	0.399664605586228	Expanded NK-treated
ZNF844	0.128154715378142	0.00493468925450072	0.085	0.046	1	RCHACV	0.399664605586228	Expanded NK-treated
AL353693.1	0.128180763325595	0.00517552046207579	0.028	0.014	1	RCHACV	0.399686296022152	Expanded NK-treated
SYNC	0.12819579238957	-0.000959318935884135	0.499	0.359	1	RCHACV	0.399686296022152	Expanded NK-treated
TEX2	0.128219287881878	0.00470252480189377	0.091	0.046	1	RCHACV	0.399706354917997	Expanded NK-treated
KIF25-AS1	0.12825833199752	-0.0172067038068772	0.047	0.04	1	RCHACV	0.399718134524808	Expanded NK-treated
AL356488.3	0.128265778639274	0.00690483245951136	0.043	0.023	1	RCHACV	0.399718134524808	Expanded NK-treated
CCDC84-DT	0.128274253440795	0.00744835689487024	0.093	0.053	1	RCHACV	0.399718134524808	Expanded NK-treated
POLE2	0.128306314636579	-0.00491601692635446	0.355	0.23	1	RCHACV	0.399750614404337	Expanded NK-treated
OR3A3	0.128318803957853	0.00110975876042986	0.003	0.001	1	RCHACV	0.399750614404337	Expanded NK-treated
DNM1L	0.128359532166344	-0.0167735116072841	0.63	0.475	1	RCHACV	0.399824326560424	Expanded NK-treated
SLC31A2	0.12847518286429	0.00776612868051969	0.037	0.023	1	RCHACV	0.400131362531471	Expanded NK-treated
CD180	0.128537784770435	0.00262565043389082	0.007	0.003	1	RCHACV	0.400273120273427	Expanded NK-treated
IGFN1	0.128595344380044	0.00463013037117477	0.02	0.009	1	RCHACV	0.400387762785249	Expanded NK-treated
AC003991.2	0.128621885147958	-0.00298982697988067	0.001	0.003	1	RCHACV	0.400387762785249	Expanded NK-treated
MST1R	0.12862587197344	0.00298580613214435	0.004	0.001	1	RCHACV	0.400387762785249	Expanded NK-treated
VPS9D1	0.128688873892804	-0.00680080934417768	0.01	0.01	1	RCHACV	0.400530656129495	Expanded NK-treated
AL157394.3	0.128729615805967	0.00234406415594185	0.005	0.001	1	RCHACV	0.400586963039783	Expanded NK-treated
CLTC	0.128741163816388	-0.0257251290783291	0.846	0.72	1	RCHACV	0.400586963039783	Expanded NK-treated
AC022874.1	0.128806908718822	0.00608868571361744	0.072	0.039	1	RCHACV	0.40070384597964	Expanded NK-treated
NMRK1	0.128812936529332	0.00783366290450893	0.118	0.072	1	RCHACV	0.40070384597964	Expanded NK-treated
PLCB4	0.128858874859185	-0.00705509781307843	0.008	0.01	1	RCHACV	0.400774134538604	Expanded NK-treated
MACC1	0.128882598589711	-0.0142437060747322	0.001	0.004	1	RCHACV	0.400774134538604	Expanded NK-treated
DDX43	0.128893674266338	-0.00243913203918867	0.001	0.003	1	RCHACV	0.400774134538604	Expanded NK-treated
MOSPD1	0.128903961401305	0.00833781355641447	0.134	0.082	1	RCHACV	0.400774134538604	Expanded NK-treated
