gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
NRROS	0.0373128387629389	0.013263849607012	0.121	0.098	1	697	0.266263266003614	Expanded NK-treated
LINC02591	0.0373486294451208	0.00237167481775251	0.005	0.001	1	697	0.266372819415459	Expanded NK-treated
SNX1	0.0373559660861541	0.0275134654503195	0.656	0.605	1	697	0.266372819415459	Expanded NK-treated
DDN-AS1	0.0373641873720604	0.0163679801594049	0.249	0.208	1	697	0.266372819415459	Expanded NK-treated
SRSF7	0.0373834910873139	0.0243233959198905	0.993	0.99	1	697	0.266424880301242	Expanded NK-treated
RAB14	0.0375476950572662	0.0182779225540521	0.844	0.79	1	697	0.26750925233354	Expanded NK-treated
MIDN	0.0375600461652918	0.0194160555903608	0.592	0.517	1	697	0.267511397134898	Expanded NK-treated
DTX1	0.0376451916700998	0.0178881923228143	0.249	0.209	1	697	0.268031832930152	Expanded NK-treated
STIP1	0.0376974126776707	0.0210003114512456	0.944	0.916	1	697	0.268262610925104	Expanded NK-treated
FADD	0.0377095723527748	0.0170670148864082	0.328	0.28	1	697	0.268262610925104	Expanded NK-treated
C1RL	0.0377138562476239	0.00502522676695302	0.017	0.01	1	697	0.268262610925104	Expanded NK-treated
ACCS	0.0377264175904881	0.00215780439390393	0.004	0.001	1	697	0.268266005928519	Expanded NK-treated
AC004847.1	0.0379488006493968	0.00511554804094362	0.02	0.011	1	697	0.269731430031258	Expanded NK-treated
UST	0.0379726361974909	0.00802089209282022	0.049	0.036	1	697	0.269731430031258	Expanded NK-treated
ST6GAL1	0.0379727621234419	0.0140141522521706	0.175	0.143	1	697	0.269731430031258	Expanded NK-treated
CCND1	0.037981101363861	-0.00782035652212059	0.009	0.012	1	697	0.269731430031258	Expanded NK-treated
DCTN1-AS1	0.0380409223506081	0.00182741913397537	0.003	0.001	1	697	0.270069867663415	Expanded NK-treated
NUBP1	0.0380778298175265	0.0174359442922341	0.498	0.433	1	697	0.270077078915587	Expanded NK-treated
RNF5	0.0380831204832819	0.0223703911178554	0.618	0.551	1	697	0.270077078915587	Expanded NK-treated
ZNF200	0.0381129736949191	0.015647334032543	0.23	0.193	1	697	0.270077078915587	Expanded NK-treated
TMEM25	0.0381212992687044	0.00559221043982801	0.025	0.015	1	697	0.270077078915587	Expanded NK-treated
RBM12	0.0381274326255335	0.0176001054038389	0.632	0.562	1	697	0.270077078915587	Expanded NK-treated
CEP89	0.0381311697749842	0.0168765178694737	0.255	0.217	1	697	0.270077078915587	Expanded NK-treated
ZNF592	0.038134523337938	0.0160967976977836	0.302	0.259	1	697	0.270077078915587	Expanded NK-treated
