gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
SLC23A3	0.176433530927599	0.00258056568191463	0.006	0.002	1	KASUMI2	0.467497274363333	Expanded NK-treated
NDRG1	0.176441299562749	0.00760667803917261	0.066	0.038	1	KASUMI2	0.467497274363333	Expanded NK-treated
RPS19	0.176442376606565	0.0150258779780623	1	1	1	KASUMI2	0.467497274363333	Expanded NK-treated
TANK	0.176443942377513	0.00257772181962085	0.273	0.188	1	KASUMI2	0.467497274363333	Expanded NK-treated
LINC01793	0.176460914741455	-0.00353241041173908	0	0.002	1	KASUMI2	0.467497274363333	Expanded NK-treated
AC067930.1	0.176495418390848	0.00082088778929596	0.001	0	1	KASUMI2	0.467511257266798	Expanded NK-treated
AL139289.1	0.1765082786134	0.000997813274301375	0.001	0	1	KASUMI2	0.467511257266798	Expanded NK-treated
MTMR6	0.176576849485836	0.0057126230618216	0.23	0.152	1	KASUMI2	0.46758804332838	Expanded NK-treated
AL355337.1	0.176579361908679	-0.00397930067161026	0.001	0.004	1	KASUMI2	0.46758804332838	Expanded NK-treated
BEND6	0.176606565802074	0.00568957429667095	0.013	0.007	1	KASUMI2	0.467604346612404	Expanded NK-treated
LYRM7	0.176711582095418	-0.0182034236317396	0.433	0.306	1	KASUMI2	0.467735841139304	Expanded NK-treated
GAPLINC	0.176712901705673	0.00119327799965959	0.001	0	1	KASUMI2	0.467735841139304	Expanded NK-treated
CYP2J2	0.176740669604621	-0.00306716652546742	0	0.003	1	KASUMI2	0.467735841139304	Expanded NK-treated
OPRD1	0.17677028153207	0.00113964707783112	0.001	0	1	KASUMI2	0.467735841139304	Expanded NK-treated
GRIN1	0.176772864178513	0.00289044283499612	0.005	0.001	1	KASUMI2	0.467735841139304	Expanded NK-treated
CPA6	0.176782547510768	0.00483484935164444	0.007	0.003	1	KASUMI2	0.467735841139304	Expanded NK-treated
KIF20A	0.176876249192517	-0.0449399166144626	0.133	0.114	1	KASUMI2	0.467928033854507	Expanded NK-treated
DIP2C	0.176904606539235	0.00735378889547848	0.097	0.057	1	KASUMI2	0.467947332239811	Expanded NK-treated
AC138932.5	0.176946284823741	0.00114875715396821	0.001	0	1	KASUMI2	0.467969052684455	Expanded NK-treated
VILL	0.176974982611923	-0.0202276139150988	0.048	0.045	1	KASUMI2	0.467969052684455	Expanded NK-treated
FKBP1B	0.176976008491461	-0.0100005959826269	0.012	0.014	1	KASUMI2	0.467969052684455	Expanded NK-treated
POU6F2	0.17699919814244	0.00124092073270318	0.001	0	1	KASUMI2	0.467974673941519	Expanded NK-treated
ESPNL	0.177042626147798	0.00127069515009742	0.001	0	1	KASUMI2	0.468033796421421	Expanded NK-treated
AC108863.2	0.177081760771705	0.00751077138619169	0.118	0.07	1	KASUMI2	0.46808155610529	Expanded NK-treated
AC121761.1	0.177194588596999	-0.00577179234770028	0.004	0.007	1	KASUMI2	0.468324075048719	Expanded NK-treated
RAB6A	0.177254301924474	0.00082494217494089	0.304	0.21	1	KASUMI2	0.468426171744504	Expanded NK-treated
SLC25A10	0.177293558095812	0.00561818177820656	0.205	0.136	1	KASUMI2	0.468474188893276	Expanded NK-treated
AL022157.1	0.177349129340677	0.00351736447449461	0.005	0.002	1	KASUMI2	0.468565299864647	Expanded NK-treated
AL356481.2	0.177398418789914	0.00255341543599166	0.004	0.002	1	KASUMI2	0.468639794322891	Expanded NK-treated
AC011322.1	0.177449392250453	0.00123038236702268	0.001	0	1	KASUMI2	0.468718719251969	Expanded NK-treated
CMAS	0.177528322027824	-0.0155689145444742	0.465	0.332	1	KASUMI2	0.468790893767441	Expanded NK-treated
TAS2R19	0.177550377422177	-0.00768640267311535	0.007	0.009	1	KASUMI2	0.468790893767441	Expanded NK-treated
H19	0.177581226993099	-0.00920681063461169	0.011	0.013	1	KASUMI2	0.468790893767441	Expanded NK-treated
YIPF2	0.177585819427015	0.00151401953012656	0.193	0.124	1	KASUMI2	0.468790893767441	Expanded NK-treated
TMEM242	0.17759839420837	-0.000626143523398182	0.249	0.165	1	KASUMI2	0.468790893767441	Expanded NK-treated
CTNND1	0.177603319657944	0.00507570179093592	0.231	0.156	1	KASUMI2	0.468790893767441	Expanded NK-treated
AC008496.3	0.177701731750343	0.000662406201767366	0.001	0	1	KASUMI2	0.468994936362244	Expanded NK-treated
COPS7A	0.177882765791528	0.00303979280942093	0.2	0.129	1	KASUMI2	0.469416962535975	Expanded NK-treated
INHBA	0.177941375855216	0.0010666822196203	0.001	0	1	KASUMI2	0.469465844020041	Expanded NK-treated
RTL8B	0.177957045663191	0.000893864589171916	0.001	0	1	KASUMI2	0.469465844020041	Expanded NK-treated
AC105345.1	0.177984067752256	0.000744450387532907	0.001	0	1	KASUMI2	0.469465844020041	Expanded NK-treated
WDR12	0.178017972492769	-0.0809652034956706	0.468	0.397	1	KASUMI2	0.469465844020041	Expanded NK-treated
EID2	0.178026284240448	0.00205010499131464	0.221	0.147	1	KASUMI2	0.469465844020041	Expanded NK-treated
REV3L-IT1	0.178028074711655	0.000818429121771602	0.001	0	1	KASUMI2	0.469465844020041	Expanded NK-treated
LYSMD3	0.178164697640532	0.00628366482696174	0.17	0.109	1	KASUMI2	0.469701793824579	Expanded NK-treated
GK-IT1	0.178176571057526	0.000753065807157919	0.001	0	1	KASUMI2	0.469701793824579	Expanded NK-treated
SYNE4	0.178188229328474	0.000902729960941381	0.001	0	1	KASUMI2	0.469701793824579	Expanded NK-treated
FXN	0.178202116403987	-0.00667596494361045	0.451	0.327	1	KASUMI2	0.469701793824579	Expanded NK-treated
CARD8-AS1	0.178388488176959	0.00345270285695751	0.185	0.116	1	KASUMI2	0.470116589672526	Expanded NK-treated
PAQR6	0.17840180796368	0.00637879241760398	0.022	0.011	1	KASUMI2	0.470116589672526	Expanded NK-treated
AC138356.1	0.178426163506155	0.00383871515584113	0.009	0.003	1	KASUMI2	0.470125008849177	Expanded NK-treated
ARHGEF37	0.178542044243849	0.00475729678216415	0.012	0.006	1	KASUMI2	0.470220609584401	Expanded NK-treated
CNTNAP3	0.178570347253886	0.000638790902444605	0.001	0	1	KASUMI2	0.470220609584401	Expanded NK-treated
AC123777.1	0.178572527374984	0.00215709382205632	0.001	0	1	KASUMI2	0.470220609584401	Expanded NK-treated
C5AR1	0.178583120464992	0.000822429276791214	0.001	0	1	KASUMI2	0.470220609584401	Expanded NK-treated
FBXO3	0.178584301026884	0.00465292094031392	0.157	0.095	1	KASUMI2	0.470220609584401	Expanded NK-treated
SNRK	0.178597314770265	-0.0042580166891652	0.181	0.109	1	KASUMI2	0.470220609584401	Expanded NK-treated
AP001020.1	0.178623650027591	0.00142436323546204	0.001	0	1	KASUMI2	0.470220609584401	Expanded NK-treated
GYS1	0.178631765985162	0.0072553489137704	0.102	0.062	1	KASUMI2	0.470220609584401	Expanded NK-treated
AC009133.2	0.178684056121454	-0.0060026988789879	0.003	0.006	1	KASUMI2	0.470302532265175	Expanded NK-treated
TTC21B	0.178738647436343	0.00715239013823797	0.105	0.064	1	KASUMI2	0.470333236870298	Expanded NK-treated
IGLV1-51	0.178749801576653	0.00136982338234011	0.001	0	1	KASUMI2	0.470333236870298	Expanded NK-treated
SNX16	0.178759231765441	-0.0304659739802474	0.063	0.052	1	KASUMI2	0.470333236870298	Expanded NK-treated
LINC00304	0.178815837049336	0.000863776930722248	0.001	0	1	KASUMI2	0.470426459647731	Expanded NK-treated
LIPT1	0.178869374436833	0.00398445262898356	0.169	0.106	1	KASUMI2	0.470511590322414	Expanded NK-treated
FAM229B	0.178896093707748	0.00831752743064324	0.078	0.045	1	KASUMI2	0.470526164780992	Expanded NK-treated
IGHV2-26	0.178950156397756	0.00120383885143045	0.001	0	1	KASUMI2	0.470612644967915	Expanded NK-treated
TM7SF2	0.179033824817362	0.0113560790193618	0.215	0.153	1	KASUMI2	0.470776954191897	Expanded NK-treated
AL355490.1	0.179227809481911	0.000501617544916978	0.001	0	1	KASUMI2	0.47123127139167	Expanded NK-treated
ZNF276	0.179377096237036	0.00430787998984233	0.225	0.148	1	KASUMI2	0.471567973860871	Expanded NK-treated
AC011731.1	0.179474868175423	-0.00511393391077377	0.002	0.005	1	KASUMI2	0.471752076813842	Expanded NK-treated
OGN	0.179489593793375	-0.00619771679094211	0.005	0.007	1	KASUMI2	0.471752076813842	Expanded NK-treated
GOSR2	0.179597622313095	0.00467357776867206	0.314	0.223	1	KASUMI2	0.471980172099602	Expanded NK-treated
SNAI3-AS1	0.179660334194681	-0.0098749141759479	0.013	0.014	1	KASUMI2	0.472089135990921	Expanded NK-treated
KTI12	0.179824630317217	0.00596329794289394	0.209	0.139	1	KASUMI2	0.472442543477179	Expanded NK-treated
BLVRB	0.179837358337602	-0.0804629620119093	0.335	0.262	1	KASUMI2	0.472442543477179	Expanded NK-treated
PPFIA1	0.179876086909472	0.000967554950993821	0.266	0.179	1	KASUMI2	0.472488416040169	Expanded NK-treated
ZNF19	0.179912572458289	0.00550256906317461	0.021	0.009	1	KASUMI2	0.472528386606668	Expanded NK-treated
FAM189A2	0.179962335921678	0.00123588658860637	0.001	0	1	KASUMI2	0.472603217159801	Expanded NK-treated
C9orf131	0.179987113267747	0.00102084072955468	0.001	0	1	KASUMI2	0.472612421164111	Expanded NK-treated
COL9A3	0.180034790508532	-0.0104712880854634	0.012	0.015	1	KASUMI2	0.472681746718041	Expanded NK-treated
SLC17A5	0.180097570883524	0.00816316234461818	0.037	0.022	1	KASUMI2	0.472749547033204	Expanded NK-treated
SRGAP2B	0.18010519749817	0.00162269115624797	0.198	0.126	1	KASUMI2	0.472749547033204	Expanded NK-treated
LINC01715	0.180124450449479	0.00258045301569275	0.005	0.001	1	KASUMI2	0.472749547033204	Expanded NK-treated
RXFP1	0.180236758893214	0.000935899886037637	0.001	0	1	KASUMI2	0.472927376015661	Expanded NK-treated
PREX2	0.180250100541486	-0.0031676994044261	0	0.003	1	KASUMI2	0.472927376015661	Expanded NK-treated
AC103702.2	0.18026151621047	0.000935596728381195	0.001	0	1	KASUMI2	0.472927376015661	Expanded NK-treated
PYGL	0.18027735281436	0.00536105775676426	0.189	0.125	1	KASUMI2	0.472927376015661	Expanded NK-treated
SPRTN	0.180338865514844	0.00161694532160622	0.304	0.213	1	KASUMI2	0.473012871632053	Expanded NK-treated
APOBEC3A	0.18040612094016	0.00275358160560059	0.003	0.001	1	KASUMI2	0.473012871632053	Expanded NK-treated
DPP8	0.180411448957104	-0.00113812549018366	0.317	0.217	1	KASUMI2	0.473012871632053	Expanded NK-treated
CPLANE1	0.180420469838366	0.0131693572918193	0.124	0.079	1	KASUMI2	0.473012871632053	Expanded NK-treated
VEPH1	0.180425991458526	0.000602356543181223	0.001	0	1	KASUMI2	0.473012871632053	Expanded NK-treated
