gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
CD3D	1.88671226106047e-18	-0.105166638282491	0.173	0.201	5.62749666106507e-14	NALM6	4.0770617663776e-16	Expanded NK-treated
ARPC3	2.01732023353959e-18	0.0883819648648112	0.999	0.994	6.01706106057854e-14	NALM6	4.31893318887986e-16	Expanded NK-treated
CWC15	2.35829596337919e-18	0.0957364982953099	0.961	0.821	7.03408936997111e-14	NALM6	5.00261644635355e-16	Expanded NK-treated
SNF8	2.6824505811814e-18	0.0861097354575189	0.969	0.826	8.00094534848975e-14	NALM6	5.63851112164329e-16	Expanded NK-treated
VIM	2.90596609347438e-18	0.0948318754540787	1	1	8.66762506700604e-14	NALM6	6.05331063183015e-16	Expanded NK-treated
HINT1	3.96693615370421e-18	0.0789589981815779	1	0.999	1.18321804656535e-13	NALM6	8.18959801303113e-16	Expanded NK-treated
PSMB1	4.11677838162254e-18	0.0922249003429436	0.997	0.981	1.22791148788655e-13	NALM6	8.42373006547578e-16	Expanded NK-treated
YWHAZ	4.68947597805649e-18	0.109276865186648	0.996	0.956	1.39872999997491e-13	NALM6	9.51140908461599e-16	Expanded NK-treated
RPS13	5.10105907555077e-18	0.071844178411272	1	1	1.52149289046453e-13	NALM6	1.02562337343378e-15	Expanded NK-treated
LSM6	5.46570997239572e-18	0.0857919958071498	0.98	0.872	1.63025731346647e-13	NALM6	1.0894667757046e-15	Expanded NK-treated
POMP	6.2843173702573e-18	0.0908881090902085	0.999	0.995	1.87442334202664e-13	NALM6	1.24193150628281e-15	Expanded NK-treated
MTDH	7.2959298012964e-18	0.0988003327161762	0.998	0.987	2.17615698183268e-13	NALM6	1.42963126157267e-15	Expanded NK-treated
DAD1	8.10392955392381e-18	0.0914484133172122	0.99	0.923	2.41715906804885e-13	NALM6	1.5746139424019e-15	Expanded NK-treated
RPS15	8.66317244891116e-18	-0.0859685893125501	1	1	2.58396444633673e-13	NALM6	1.6692489446977e-15	Expanded NK-treated
NDUFV2	1.05239410728768e-17	0.0890007804367383	0.995	0.967	3.13897590380695e-13	NALM6	2.00327537980854e-15	Expanded NK-treated
DERL1	1.05700024364952e-17	0.0881027524227098	0.641	0.364	3.15271462673343e-13	NALM6	2.00327537980854e-15	Expanded NK-treated
SRSF9	1.08353450650884e-17	0.0802191069114251	0.998	0.984	3.23185837256392e-13	NALM6	2.03686868776402e-15	Expanded NK-treated
MYL12A	1.39336534300702e-17	0.101780792562435	0.991	0.926	4.15599080858702e-13	NALM6	2.58477377897436e-15	Expanded NK-treated
ESF1	1.39735629431621e-17	0.0957464972704503	0.93	0.739	4.16789461905697e-13	NALM6	2.58477377897436e-15	Expanded NK-treated
SMARCC1	1.50203479279846e-17	0.099826744783371	0.969	0.854	4.48011917647997e-13	NALM6	2.75635305389571e-15	Expanded NK-treated
NDUFC2	1.6202956987517e-17	0.0901680983469351	0.996	0.96	4.8328559806667e-13	NALM6	2.94995883043597e-15	Expanded NK-treated
PHAX	1.75279120284768e-17	0.0904283738307227	0.829	0.573	5.22805032073377e-13	NALM6	3.16625298376906e-15	Expanded NK-treated
CHD4	1.97275292198664e-17	0.0984641886447424	0.977	0.882	5.88413014040955e-13	NALM6	3.53596845443218e-15	Expanded NK-treated
XPO1	2.11347950316739e-17	0.102263294263947	0.97	0.856	6.30387531409736e-13	NALM6	3.75906715940279e-15	Expanded NK-treated
RBIS	2.39218982945235e-17	0.081633092437527	0.985	0.882	7.13518460430753e-13	NALM6	4.22230635393872e-15	Expanded NK-treated
