sample_name,experiment,ubam1_path,ubam2_path,original_sample_name
S_32_0_S115948,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_32_0_S115948.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_32_0_S115948.bam,32
S_33_0_S115951,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_33_0_S115951.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_33_0_S115951.bam,33
S_34_0_S106463,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_34_0_S106463.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_34_0_S106463.bam,34
S_34_0_S115950,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_34_0_S115950.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_34_0_S115950.bam,34
S_35_0_S106466,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_35_0_S106466.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_35_0_S106466.bam,35
S_35_0_S115953,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_35_0_S115953.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_35_0_S115953.bam,35
S_36_0_S106465,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_36_0_S106465.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_36_0_S106465.bam,36
S_36_0_S115952,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_36_0_S115952.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_36_0_S115952.bam,36
S_37_0_S106468,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_37_0_S106468.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_37_0_S106468.bam,37
S_37_0_S115955,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_37_0_S115955.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_37_0_S115955.bam,37
S_38_0_S106467,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_38_0_S106467.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_38_0_S106467.bam,38
S_38_0_S115954,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_38_0_S115954.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_38_0_S115954.bam,38
S_39_0_S106470,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_39_0_S106470.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_39_0_S106470.bam,39
S_39_0_S115957,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_39_0_S115957.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_39_0_S115957.bam,39
S_4_0_S106446,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_4_0_S106446.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_4_0_S106446.bam,4
S_4_0_S115920,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_4_0_S115920.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_4_0_S115920.bam,4
S_40_0_S106469,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_40_0_S106469.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_40_0_S106469.bam,40
S_40_0_S115956,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_40_0_S115956.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_40_0_S115956.bam,40
S_41_0_S106472,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_41_0_S106472.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_41_0_S106472.bam,41
S_42_0_S106471,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_42_0_S106471.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_42_0_S106471.bam,42
S_43_0_S106474,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_43_0_S106474.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_43_0_S106474.bam,43
S_44_0_S106473,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_44_0_S106473.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_44_0_S106473.bam,44
S_45_0_S106476,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_45_0_S106476.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_45_0_S106476.bam,45
S_46_0_S106475,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_46_0_S106475.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_46_0_S106475.bam,46
S_47_0_S106478,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_47_0_S106478.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_47_0_S106478.bam,47
S_48_0_S106477,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_48_0_S106477.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_48_0_S106477.bam,48
S_49_0_S106480,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_49_0_S106480.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_49_0_S106480.bam,49
S_5_0_S106448,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_5_0_S106448.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_5_0_S106448.bam,5
S_5_0_S115923,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_5_0_S115923.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_5_0_S115923.bam,5
S_50_0_S106479,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_50_0_S106479.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_50_0_S106479.bam,50
S_51_0_S106482,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_51_0_S106482.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_51_0_S106482.bam,51
S_52_0_S106481,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_52_0_S106481.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_52_0_S106481.bam,52
S_53_0_S106484,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_53_0_S106484.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_53_0_S106484.bam,53
S_54_0_S106483,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_54_0_S106483.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_54_0_S106483.bam,54
S_55_0_S106486,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_55_0_S106486.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_55_0_S106486.bam,55
S_56_0_S106485,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_56_0_S106485.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_56_0_S106485.bam,56
S_57_0_S106488,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_57_0_S106488.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_57_0_S106488.bam,57
S_58_0_S106487,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_58_0_S106487.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_58_0_S106487.bam,58
S_59_0_S106490,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_59_0_S106490.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_59_0_S106490.bam,59
S_6_0_S106447,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_6_0_S106447.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_6_0_S106447.bam,6
